time,x,y,theta,vx,vy,w,Uv,Uw,xg,yg,goalID,goalType,collisionTagID,reward,safetyViolated,U_constraint,rayAngle_0,rayDistance_0,rayTag_0,rayAngle_1,rayDistance_1,rayTag_1,rayAngle_2,rayDistance_2,rayTag_2,rayAngle_3,rayDistance_3,rayTag_3,rayAngle_4,rayDistance_4,rayTag_4,rayAngle_5,rayDistance_5,rayTag_5,rayAngle_6,rayDistance_6,rayTag_6,rayAngle_7,rayDistance_7,rayTag_7,rayAngle_8,rayDistance_8,rayTag_8,rayAngle_9,rayDistance_9,rayTag_9,rayAngle_10,rayDistance_10,rayTag_10,rayAngle_11,rayDistance_11,rayTag_11,rayAngle_12,rayDistance_12,rayTag_12,rayAngle_13,rayDistance_13,rayTag_13,rayAngle_14,rayDistance_14,rayTag_14,rayAngle_15,rayDistance_15,rayTag_15,rayAngle_16,rayDistance_16,rayTag_16,rayAngle_17,rayDistance_17,rayTag_17,rayAngle_18,rayDistance_18,rayTag_18,rayAngle_19,rayDistance_19,rayTag_19,rayAngle_20,rayDistance_20,rayTag_20,rayAngle_21,rayDistance_21,rayTag_21,rayAngle_22,rayDistance_22,rayTag_22,rayAngle_23,rayDistance_23,rayTag_23,rayAngle_24,rayDistance_24,rayTag_24,rayAngle_25,rayDistance_25,rayTag_25,rayAngle_26,rayDistance_26,rayTag_26,rayAngle_27,rayDistance_27,rayTag_27,rayAngle_28,rayDistance_28,rayTag_28,rayAngle_29,rayDistance_29,rayTag_29,rayAngle_30,rayDistance_30,rayTag_30,rayAngle_31,rayDistance_31,rayTag_31,rayAngle_32,rayDistance_32,rayTag_32,rayAngle_33,rayDistance_33,rayTag_33,rayAngle_34,rayDistance_34,rayTag_34,rayAngle_35,rayDistance_35,rayTag_35,rayAngle_36,rayDistance_36,rayTag_36
0.03999998,32.91542,1.5,4.572024,0,0,0,-0.5499972,-0.1576272,5,13,0,0,0,-0.001998002,0,0.7076243,5.464153E-06,4.999999,0,-4.999989,4.999999,0,5.000005,4.999999,0,-10.00002,4.999999,0,10.00002,4.999999,0,-14.99999,4.999999,0,15.00001,4.999999,0,-20.00002,4.999999,0,20,4.999999,0,-25,4.999999,0,25.00002,5,0,-29.99999,4.999999,0,30.00003,4.999999,0,-34.99999,4.999999,0,35.00002,5,0,-39.99999,5,0,40.00001,4.999999,0,-44.99999,4.999999,0,45.00001,4.999999,0,-50.00001,5,0,50.00001,5,0,-55,4.999999,0,55.00002,5,0,-60.00001,5,0,60.00002,5,0,-64.99998,4.999999,0,65.00001,5,0,-70,5,0,70,4.999999,0,-74.99999,4.999999,0,75.00001,4.999999,0,-79.99999,5,0,80,5,0,-85,5,0,85,5,0,-90,5,0,90.00001,5,0
0.05999998,32.91649,1.492406,4.565399,0.05616075,-0.3793147,-0.3312629,-0.5499972,-0.1576272,5,13,0,0,0,-0.001998002,0,0.7076243,-1.639246E-05,4.999999,0,-5,4.999999,0,5.000011,4.999999,0,-10.00001,5,0,10.00002,5,0,-15.00001,5,0,15.00001,5,0,-20,4.999999,0,20,5,0,-24.99998,5,0,25,4.999999,0,-29.99998,4.999999,0,30.00001,4.999999,0,-35.00001,5,0,35.00002,5,0,-39.99999,4.999999,0,40.00001,5,0,-45,5,0,45.00001,5,0,-50.00001,5,0,50.00002,5,0,-55.00001,5,0,55.00002,5,0,-60.00001,5,0,60,4.999999,0,-65,4.999999,0,65.00001,5.000001,0,-70,5,0,70.00001,4.999999,0,-75,5.000001,0,75,5,0,-79.99999,5,0,80.00001,5.000001,0,-84.99999,4.999999,0,85,5,0,-90,5.000002,0,90.00001,5,0
0.07999997,32.91761,1.48482,4.558774,0.05867249,-0.3789343,-0.3312629,-0.5499972,-0.1576272,5,13,0,0,0,-0.001998002,0,0.7076243,-5.464152E-06,4.999999,0,-5.000017,4.999999,0,4.999999,5,0,-10.00002,5,0,10.00002,5,0,-15,5,0,15.00001,5,0,-19.99998,4.999999,0,20.00001,5,0,-24.99998,4.999999,0,25.00001,5,0,-30.00001,4.999999,0,30.00002,5,0,-35,4.999999,0,35.00001,4.999999,0,-39.99999,5,0,40.00001,5,0,-44.99999,5,0,45.00002,5,0,-50,5,0,50,4.999999,0,-55,4.999999,0,55.00002,5,0,-60.00001,5,0,60,5,0,-64.99999,4.999999,0,65.00001,5.000001,0,-70.00002,5.000001,0,70.00001,4.999999,0,-75.00001,5.000001,0,75.00001,5.000001,0,-80.00001,5.000001,0,80,5,0,-85,5.000002,0,84.99999,5,0,-89.99999,5,0,90.00002,5,0
0.09999996,32.91879,1.477241,4.552148,0.06118169,-0.3785372,-0.3312629,-0.5499972,-0.1576272,5,13,0,0,0,-0.001998002,0,0.7076243,-1.092831E-05,4.999998,0,-5.000005,4.999999,0,5.000017,4.999999,0,-9.99999,4.999999,0,10.00001,5,0,-15,4.999999,0,15.00001,4.999999,0,-20.00002,5,0,20,5,0,-24.99998,4.999999,0,25.00002,4.999999,0,-29.99999,4.999999,0,30.00002,4.999999,0,-35.00002,5,0,35.00002,4.999999,0,-40.00002,5.000001,0,40.00002,5,0,-45.00001,5,0,45.00002,5,0,-50,5,0,50.00002,5,0,-55.00001,5,0,55.00002,5,0,-60.00001,5,0,60.00001,5,0,-65.00001,5.000001,0,65.00001,4.999999,0,-70.00001,5,0,70.00001,5,0,-75,5,0,75,5.000001,0,-80,5.000001,0,80,5,0,-85,5,0,85,4.999999,0,-89.99999,5,0,90.00001,5,0
0.12,32.92001,1.46967,4.545523,0.06368825,-0.3781235,-0.3312629,-0.5499972,-0.1576272,5,13,0,0,0,-0.001998002,0,0.7076243,-1.092831E-05,4.999998,0,-4.99999,4.999998,0,5.000011,4.999999,0,-10.00001,4.999997,0,10,4.999997,0,-15,4.999999,0,15,4.999999,0,-19.99997,4.999998,0,20.00001,4.999998,0,-25.00001,5,0,25.00002,4.999998,0,-29.99999,4.999998,0,30.00002,4.999999,0,-34.99999,4.999999,0,35.00002,4.999998,0,-40,4.999999,0,40.00002,4.999999,0,-44.99998,4.999999,0,45,4.999999,0,-49.99999,4.999998,0,50.00002,4.999999,0,-55,4.999998,0,55.00002,4.999999,0,-59.99999,4.999998,0,60.00002,5,0,-65,4.999999,0,65,4.999999,0,-69.99998,4.999997,0,70,4.999999,0,-74.99998,4.999998,0,75,5,0,-79.99999,4.999997,0,80,4.999998,0,-85.00001,5,0,85,4.999999,0,-90,4.999999,0,90.00001,4.999999,0
0.1399999,32.92128,1.462107,4.538898,0.066192,-0.3776933,-0.3312629,0.7735142,-0.7909015,5,13,0,0,0,-0.001998002,0,1.564416,1.639246E-05,4.999998,0,-4.999989,4.999999,0,5.000005,4.999999,0,-9.999995,4.999999,0,10.00002,5,0,-15.00002,4.999999,0,15.00002,4.999999,0,-19.99999,4.999998,0,20.00001,4.999999,0,-25.00002,5,0,25.00001,5,0,-30,4.999999,0,30.00002,4.999999,0,-35,5,0,35,4.999999,0,-40.00001,5,0,40.00002,5,0,-45,5,0,45.00002,5,0,-50.00002,5,0,50.00002,5.000001,0,-55.00002,5,0,55.00002,4.999999,0,-59.99999,4.999998,0,60.00001,4.999999,0,-64.99999,4.999999,0,65,5,0,-69.99998,4.999998,0,70.00001,5,0,-75,5,0,75.00001,5.000002,0,-80,5,0,80,4.999999,0,-85,5.000001,0,85,5,0,-90,4.999998,0,90.00001,5,0
0.1599999,32.92009,1.468898,4.517649,-0.06669351,0.3381332,-1.062459,0.7735142,-0.7909015,5,13,0,0,0,-0.001998002,0,1.564416,0,4.999999,0,-5.000022,4.999999,0,5.000005,4.999999,0,-9.999991,4.999999,0,10.00002,5,0,-14.99999,4.999999,0,15,4.999999,0,-20,4.999999,0,20.00001,4.999999,0,-24.99997,5,0,25.00002,5,0,-29.99998,4.999999,0,30.00001,4.999998,0,-35.00002,5,0,35,4.999998,0,-39.99998,4.999998,0,40.00002,5,0,-44.99998,4.999999,0,45.00002,5,0,-50,5,0,50.00001,5,0,-55,4.999999,0,55.00002,5,0,-59.99999,4.999998,0,60.00001,5.000001,0,-65.00002,5.000001,0,65.00001,5,0,-69.99998,4.999998,0,70,5,0,-75,5,0,75.00001,5,0,-80,5,0,80.00001,4.999999,0,-85.00001,5,0,85,4.999999,0,-90,5.000001,0,90.00002,5,0
0.1799999,32.91876,1.475663,4.496399,-0.07386291,0.3366398,-1.062459,0.7735142,-0.7909015,5,13,0,0,0,-0.001998002,0,1.564416,1.092831E-05,4.999998,0,-5.000017,4.999999,0,5.000006,4.999999,0,-9.999986,4.999999,0,10.00001,4.999998,0,-15.00001,4.999999,0,15.00001,5,0,-20,4.999998,0,20,4.999999,0,-25,5,0,25.00002,4.999998,0,-30.00001,4.999999,0,30.00001,4.999998,0,-34.99999,5,0,35.00002,4.999999,0,-40,5,0,40.00001,5,0,-44.99998,4.999999,0,45.00002,4.999999,0,-50,4.999999,0,50.00002,5,0,-55.00002,5,0,55.00002,5,0,-60,4.999999,0,60.00001,5,0,-65,4.999999,0,64.99999,4.999999,0,-70,5,0,70,5,0,-74.99999,4.999999,0,75.00001,5,0,-80,5,0,80,4.999999,0,-84.99998,4.999998,0,85.00001,4.999999,0,-90,5,0,90.00001,5,0
0.1999999,32.91728,1.482397,4.475151,-0.08099905,0.3349943,-1.062459,0.7735142,-0.7909015,5,13,0,0,0,-0.001998002,0,1.564416,0,4.999998,0,-4.999989,4.999999,0,5.000005,4.999999,0,-10.00001,4.999998,0,10.00001,4.999999,0,-15.00001,4.999999,0,15,4.999999,0,-19.99998,4.999998,0,20.00001,4.999999,0,-25,4.999999,0,25.00001,4.999999,0,-30.00002,4.999999,0,30.00001,4.999998,0,-35.00001,4.999999,0,35.00002,4.999999,0,-40.00001,5,0,40.00002,4.999999,0,-44.99999,4.999999,0,45.00001,4.999999,0,-50.00002,5,0,50.00001,5,0,-54.99999,4.999998,0,55.00002,4.999998,0,-60,4.999999,0,60,4.999998,0,-64.99999,4.999998,0,65,4.999999,0,-69.99999,4.999997,0,70.00001,5,0,-74.99998,4.999997,0,75.00001,5.000001,0,-80.00001,5,0,80.00001,5,0,-84.99999,4.999998,0,85,4.999998,0,-89.99999,4.999998,0,90.00002,4.999998,0
0.2199999,32.91566,1.489098,4.453901,-0.08809862,0.3331977,-1.062459,0.7735142,-0.7909015,5,13,0,0,0,-0.001998002,0,1.564416,-5.464153E-06,4.999999,0,-4.999984,4.999999,0,5.000017,4.999999,0,-9.999986,4.999999,0,10.00002,5,0,-15,4.999999,0,15.00001,4.999999,0,-20.00002,4.999999,0,20.00002,4.999999,0,-25.00001,4.999999,0,25.00001,4.999997,0,-29.99998,4.999999,0,30.00002,4.999999,0,-34.99998,4.999999,0,35.00001,5,0,-40.00002,5,0,40.00002,5,0,-45,5,0,45,5,0,-50,4.999999,0,50.00002,5,0,-54.99998,4.999998,0,55.00002,5.000001,0,-60.00002,5,0,60.00001,5,0,-65,5,0,65,4.999998,0,-69.99998,4.999999,0,70.00001,5,0,-74.99998,4.999998,0,75,5.000001,0,-79.99999,4.999999,0,80,4.999999,0,-84.99999,4.999999,0,85,4.999999,0,-90,5.000002,0,90.00001,5,0
